epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,347.938,0.64849,0.75285,0.58203,0.00512,0.12976,0.94176,0.82927,0.84067,0.78444,0.94176,0.82927,0.87547,0.82033,0.57678,1.13769,0.39444,0.00582,0,0.00133175,0.00133175,0.00133175
29,358.891,0.60589,0.72287,0.55123,0.0055,0.11238,0.97123,0.82365,0.84272,0.76549,0.97123,0.82365,0.87402,0.82404,0.66996,1.07508,0.4807,0.00726,0,0.001307,0.001307,0.001307
30,369.658,0.63913,0.86272,0.56407,0.00475,0.09775,0.97947,0.80488,0.84353,0.81232,0.97947,0.80488,0.87564,0.85138,0.5468,1.01732,0.38755,0.00537,0,0.00128225,0.00128225,0.00128225
31,380.765,0.6419,0.80376,0.55834,0.0051,0.12439,0.99711,0.82927,0.8275,0.77511,0.99711,0.82927,0.87131,0.84011,0.59296,0.94284,0.28911,0.0069,0,0.0012575,0.0012575,0.0012575
32,391.798,0.63814,0.71754,0.51726,0.00517,0.10907,0.99666,0.82927,0.8292,0.7888,0.99666,0.82927,0.87191,0.84585,0.58822,1.04421,0.27445,0.00637,0,0.00123275,0.00123275,0.00123275
33,402.911,0.58612,0.71026,0.47936,0.00488,0.11743,0.91327,0.82927,0.82441,0.76255,0.91327,0.82927,0.85248,0.84018,0.62937,1.10685,0.35808,0.00753,0,0.001208,0.001208,0.001208
34,414.213,0.60458,0.86924,0.50303,0.00487,0.10279,0.9798,0.80488,0.84749,0.77683,0.9798,0.80488,0.85898,0.85408,0.66949,1.0568,0.43146,0.00857,0,0.00118325,0.00118325,0.00118325
35,426.676,0.61121,0.84501,0.50778,0.00489,0.12517,0.99585,0.82927,0.85297,0.81935,0.99585,0.82927,0.87805,0.86078,0.5633,0.98249,0.3649,0.00545,0,0.0011585,0.0011585,0.0011585
36,437.555,0.59096,0.70245,0.45697,0.00475,0.10346,0.99062,0.82927,0.84107,0.78029,0.99062,0.82927,0.87263,0.84767,0.63632,1.22257,0.31466,0.00733,0,0.00113375,0.00113375,0.00113375
37,448.764,0.56432,0.6379,0.43065,0.00465,0.12769,0.98526,0.82927,0.84025,0.78301,0.98526,0.82927,0.86124,0.85009,0.63176,1.30177,0.37733,0.00664,0,0.001109,0.001109,0.001109
38,459.732,0.56531,0.63163,0.43278,0.00451,0.08504,0.9962,0.82927,0.82955,0.81036,0.9962,0.82927,0.86865,0.84691,0.57677,1.39413,0.31173,0.00485,0,0.00108425,0.00108425,0.00108425
39,470.838,0.60739,0.76587,0.44905,0.00431,0.11106,0.98274,0.80488,0.85096,0.81212,0.98274,0.80488,0.86142,0.84403,0.6172,1.52376,0.39139,0.00614,0,0.0010595,0.0010595,0.0010595
40,481.759,0.59989,0.77261,0.4504,0.00445,0.12184,0.99626,0.82927,0.85773,0.77163,0.99626,0.82927,0.86742,0.85909,0.67697,1.46614,0.33642,0.00784,0,0.00103475,0.00103475,0.00103475
41,492.159,0.53861,0.60621,0.41886,0.00463,0.08786,0.99728,0.82927,0.85587,0.81128,0.99728,0.82927,0.87139,0.85163,0.57829,1.59942,0.29207,0.0058,0,0.00101,0.00101,0.00101
42,503.416,0.53037,0.56772,0.41168,0.00443,0.10375,0.97211,0.85009,0.86893,0.83389,0.97211,0.85009,0.89149,0.85832,0.54379,1.7409,0.29064,0.00535,0,0.00098525,0.00098525,0.00098525
43,514.045,0.56903,0.67138,0.40151,0.00428,0.08574,0.97141,0.82887,0.86958,0.84822,0.97141,0.82887,0.87517,0.85359,0.44562,1.6605,0.28547,0.00408,0,0.0009605,0.0009605,0.0009605
44,525.24,0.56668,0.68884,0.40424,0.0042,0.09968,0.97196,0.8456,0.86624,0.84434,0.97196,0.8456,0.87377,0.85787,0.38152,1.26471,0.3042,0.00313,0,0.00093575,0.00093575,0.00093575
45,536.628,0.58689,0.6655,0.44118,0.0045,0.1252,0.94486,0.83605,0.86194,0.82858,0.94486,0.83605,0.8945,0.87235,0.49019,1.2875,0.35605,0.00463,0,0.000911,0.000911,0.000911
46,547.615,0.50968,0.5885,0.37443,0.00384,0.08185,0.96831,0.85366,0.86809,0.8199,0.96831,0.85366,0.89426,0.87017,0.55786,1.1447,0.38465,0.00521,0,0.00088625,0.00088625,0.00088625
47,558.388,0.55079,0.62963,0.41314,0.00432,0.07829,1,0.8255,0.88518,0.83001,1,0.8255,0.89344,0.8686,0.58901,1.11371,0.3256,0.00559,0,0.0008615,0.0008615,0.0008615
48,570.604,0.55212,0.62989,0.37963,0.00413,0.08121,0.97057,0.85366,0.86703,0.81999,0.97057,0.85366,0.89962,0.87363,0.62367,1.15802,0.31614,0.00604,0,0.00083675,0.00083675,0.00083675
49,581.797,0.56271,0.67558,0.3763,0.00435,0.08747,1,0.85075,0.86096,0.82071,1,0.85075,0.90172,0.85405,0.59766,1.15813,0.28889,0.00503,0,0.000812,0.000812,0.000812
50,593.436,0.5191,0.61522,0.36707,0.004,0.08505,1,0.8274,0.83429,0.82997,1,0.8274,0.90181,0.85717,0.51873,1.01365,0.25488,0.00353,0,0.00078725,0.00078725,0.00078725
51,604.476,0.55457,0.63811,0.38975,0.00388,0.12794,1,0.80478,0.87386,0.7838,1,0.80478,0.89384,0.84969,0.67887,1.00727,0.34382,0.00664,0,0.0007625,0.0007625,0.0007625
52,615.238,0.57607,0.7124,0.38708,0.00362,0.10288,0.97284,0.87805,0.89064,0.83369,0.99668,0.82927,0.87347,0.84255,0.58337,0.96885,0.28318,0.00464,0,0.00073775,0.00073775,0.00073775
53,626.144,0.56793,0.75403,0.38984,0.00389,0.08347,0.99641,0.82927,0.86475,0.83284,0.99641,0.82927,0.87255,0.83059,0.52515,0.97023,0.31367,0.00381,0,0.000713,0.000713,0.000713
54,638.441,0.54618,0.57782,0.37645,0.00378,0.0804,0.97183,0.90244,0.91659,0.85636,0.9412,0.85366,0.8795,0.86042,0.45308,0.94315,0.32513,0.00293,0,0.00068825,0.00068825,0.00068825
55,650.146,0.52222,0.69429,0.35271,0.0035,0.08183,0.99305,0.82927,0.87289,0.84071,0.99305,0.82927,0.88059,0.86092,0.5693,0.95879,0.32697,0.00544,0,0.0006635,0.0006635,0.0006635
56,661.771,0.55036,0.78147,0.39354,0.00358,0.08051,0.99258,0.82927,0.89638,0.81957,0.99258,0.82927,0.88393,0.86979,0.55302,0.99663,0.3266,0.00627,0,0.00063875,0.00063875,0.00063875
57,673.77,0.51575,0.65857,0.32395,0.00362,0.07202,0.96109,0.85366,0.89519,0.84539,0.93854,0.82927,0.88726,0.85528,0.44244,0.925,0.30999,0.00365,0,0.000614,0.000614,0.000614
58,685.163,0.51835,0.77323,0.33599,0.00355,0.08192,0.99765,0.82927,0.88264,0.84271,0.99945,0.87805,0.9255,0.8642,0.46582,0.97295,0.21637,0.00403,0,0.00058925,0.00058925,0.00058925
59,696.552,0.50431,0.65221,0.36691,0.00317,0.10069,0.9974,0.82927,0.89162,0.84537,1,0.87504,0.92524,0.86969,0.46301,0.93378,0.21914,0.00396,0,0.0005645,0.0005645,0.0005645
