epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,353.206,0.6037,0.57142,0.59078,0.00567,0.20643,0.93832,0.98164,0.97118,0.88985,0.93832,0.98164,0.97118,0.97118,0.43466,0.13816,0.31091,0.00695,0,0.00133175,0.00133175,0.00133175
29,364.83,0.53972,0.38144,0.51886,0.00545,0.1083,0.98959,1,0.995,0.95443,0.98959,1,0.995,0.995,0.30706,0.13485,0.18522,0.00481,0,0.001307,0.001307,0.001307
30,375.648,0.61805,0.37855,0.55786,0.00623,0.15154,0.96832,1,0.995,0.9183,0.96832,1,0.995,0.97473,0.47239,0.1514,0.18841,0.00821,0,0.00128225,0.00128225,0.00128225
31,387.327,0.51689,0.49143,0.54593,0.00494,0.14904,0.96858,0.99443,0.99312,0.92826,0.96858,0.99443,0.99312,0.96654,0.39705,0.16519,0.18991,0.00602,0,0.0012575,0.0012575,0.0012575
32,398.537,0.51464,0.43273,0.50609,0.00539,0.1371,0.96324,0.96774,0.99042,0.96111,0.96324,0.96774,0.99042,0.97304,0.2903,0.17672,0.18951,0.00431,0,0.00123275,0.00123275,0.00123275
33,409.364,0.50645,0.2877,0.48448,0.00457,0.18473,0.9683,0.98568,0.99219,0.91589,0.9683,0.98568,0.99219,0.97822,0.42277,0.14219,0.21633,0.00643,0,0.001208,0.001208,0.001208
34,420.65,0.52623,0.39678,0.49374,0.00477,0.11106,0.98935,0.96774,0.99406,0.9884,0.98935,0.96774,0.99406,0.97597,0.25589,0.12433,0.15879,0.00357,0,0.00118325,0.00118325,0.00118325
35,431.503,0.53477,0.37917,0.46967,0.0049,0.14683,0.99219,1,0.995,0.92372,0.99219,1,0.995,0.97698,0.39407,0.12202,0.18469,0.00534,0,0.0011585,0.0011585,0.0011585
36,442.939,0.52025,0.34282,0.45688,0.00452,0.12981,0.93388,1,0.98936,0.94074,0.93388,1,0.98936,0.97229,0.3763,0.13029,0.20558,0.00593,0,0.00113375,0.00113375,0.00113375
37,454.553,0.53361,0.50942,0.48632,0.00454,0.16867,0.93925,0.99758,0.99221,0.95391,0.93925,0.99758,0.99221,0.97938,0.3278,0.14066,0.18016,0.00508,0,0.001109,0.001109,0.001109
38,465.392,0.49906,0.27779,0.41238,0.00435,0.11907,0.99667,0.90323,0.98372,0.93152,0.99667,0.90323,0.98372,0.98024,0.38602,0.16473,0.24721,0.00642,0,0.00108425,0.00108425,0.00108425
39,477.981,0.46667,0.40586,0.40694,0.0038,0.1242,0.96393,0.96774,0.98987,0.97084,0.96393,0.96774,0.98987,0.98226,0.27681,0.15512,0.18801,0.00428,0,0.0010595,0.0010595,0.0010595
40,489.064,0.49343,0.32735,0.44103,0.0043,0.14471,0.99831,0.96774,0.99083,0.92862,0.99831,0.96774,0.99083,0.98339,0.36438,0.14003,0.19192,0.00546,0,0.00103475,0.00103475,0.00103475
41,499.906,0.46472,0.29772,0.38688,0.00429,0.14788,0.99761,1,0.995,0.94866,0.99761,1,0.995,0.97514,0.34841,0.13192,0.16202,0.00515,0,0.00101,0.00101,0.00101
42,511.007,0.43719,0.37753,0.37331,0.00384,0.08921,0.96661,0.96774,0.98987,0.96554,0.96661,0.96774,0.98987,0.97159,0.28987,0.13011,0.19253,0.00483,0,0.00098525,0.00098525,0.00098525
43,521.414,0.39081,0.28288,0.3495,0.00397,0.08597,0.96874,0.99969,0.99219,0.97587,0.96874,0.99969,0.99219,0.99219,0.30994,0.14151,0.14985,0.00506,0,0.0009605,0.0009605,0.0009605
44,531.907,0.40124,0.41907,0.38321,0.00351,0.11209,1,0.96038,0.99318,0.98546,1,0.96038,0.99318,0.97977,0.24249,0.16702,0.14722,0.00359,0,0.00093575,0.00093575,0.00093575
45,543.105,0.41765,0.25901,0.34689,0.00412,0.08986,0.9958,0.96774,0.99406,0.98652,0.9958,0.96774,0.99406,0.99081,0.2172,0.18091,0.11725,0.00337,0,0.000911,0.000911,0.000911
46,554.195,0.4091,0.40407,0.37388,0.00354,0.11675,0.96595,1,0.99406,0.98404,0.96595,1,0.99406,0.99041,0.25899,0.13587,0.12002,0.00385,0,0.00088625,0.00088625,0.00088625
47,564.896,0.433,0.26374,0.36526,0.00421,0.086,0.99696,1,0.995,0.98418,0.99696,1,0.995,0.98101,0.25626,0.12779,0.09538,0.00403,0,0.0008615,0.0008615,0.0008615
48,575.947,0.40857,0.23018,0.34256,0.00386,0.10741,0.99804,1,0.995,0.98384,0.99804,1,0.995,0.97763,0.23299,0.12738,0.09929,0.00377,0,0.00083675,0.00083675,0.00083675
49,586.959,0.45874,0.31371,0.39182,0.00357,0.10919,0.96753,0.96141,0.99139,0.97136,0.96753,0.96141,0.99139,0.98912,0.25366,0.12909,0.16889,0.004,0,0.000812,0.000812,0.000812
50,598.968,0.43166,0.22023,0.33637,0.0039,0.0717,0.96827,0.98474,0.99312,0.98608,0.96827,0.98474,0.99312,0.98158,0.21125,0.12244,0.19186,0.00317,0,0.00078725,0.00078725,0.00078725
51,610.595,0.39557,0.24373,0.34757,0.00369,0.09176,0.95568,1,0.99312,0.99312,0.95568,1,0.99312,0.98537,0.20963,0.12739,0.15954,0.00317,0,0.0007625,0.0007625,0.0007625
52,622.094,0.37374,0.2827,0.32761,0.00331,0.08739,0.99462,1,0.995,0.99462,0.99462,1,0.995,0.98968,0.23277,0.13936,0.1145,0.00354,0,0.00073775,0.00073775,0.00073775
53,632.635,0.35507,0.20628,0.29327,0.00333,0.06163,0.99647,1,0.995,0.98671,0.99647,1,0.995,0.98761,0.23672,0.12632,0.12056,0.0037,0,0.000713,0.000713,0.000713
54,643.408,0.36776,0.358,0.34049,0.00339,0.11132,0.99537,0.96774,0.99318,0.99073,0.99537,0.96774,0.99318,0.98982,0.19245,0.12259,0.15129,0.00301,0,0.00068825,0.00068825,0.00068825
55,654.703,0.36747,0.31649,0.34623,0.00323,0.09324,1,0.99491,0.995,0.9803,1,0.99491,0.995,0.98851,0.24839,0.12314,0.1464,0.00435,0,0.0006635,0.0006635,0.0006635
56,665.754,0.35943,0.38934,0.33332,0.00296,0.07634,0.95671,0.96774,0.98867,0.98867,0.95671,0.96774,0.98867,0.97596,0.18451,0.14325,0.18384,0.00266,0,0.00063875,0.00063875,0.00063875
